level,name_base,name_prefix,name_suffix,name_full,name_short,organiser,organiser_name,clubs,entry,stages,qualification_spots,qualification_byes_format,tier_1_byes,tier_1_byes_format,tier_1_bye_entry_format,tier_1_entry_format,tier_1_intermediate,tier_1_qualifying_third,tier_1_qualifying_second,tier_1_qualifying_first,tier_1_qualifying_preliminary,tier_2_byes,tier_2_byes_format,tier_2_bye_entry_format,tier_2_entry_format,tier_2_intermediate,tier_2_qualifying_sixth,tier_2_qualifying_fifth,tier_2_qualifying_fourth,tier_2_qualifying_third,tier_2_qualifying_second,tier_2_qualifying_first,tier_2_qualifying_preliminary,amateur_cup_byes,amateur_cup_bye_entry_format,non_association_byes,non_association_bye_entry_format,non_association_other_byes,non_association_other_bye_entry_format,invite_byes,invite_bye_entry_format,format_start,format_end,type,quality,gender,victory,draw,loss,points_tiebreaker,match_system,uneven_team_system,draw_system,replay_venue,add_replay_venue,extra_time,previous_winner,home_and_away,venue_system,venue_semis,venue_finals,video_referee,promotion_teams,promotion_system,relegation_teams,relegation_system
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,64,"qualifying, intermediate bye or bye","preliminary round, qualifying rounds, rounds",10,association leagues and non-association league,20,all,1st round,,,,,,,16,partial,1st round,qualifying,,,3,,,,,1,,,16,1st round,,,,,1907,1907,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,64,"qualifying, intermediate bye or bye","preliminary rounds, qualifying rounds, rounds",10,association leagues and non-association league,20,all,1st round,,,,,,,17,partial,1st round,qualifying,,,2,1,,,,,,,15,1st round,,,,,1908,1908,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,64,"qualifying, intermediate bye or bye","preliminary rounds, qualifying rounds, rounds",10,association leagues and non-association league,20,all,1st round,,,,,,,19,partial,1st round,qualifying,,,,1,,,,,,,13,1st round,,,,,1909,1909,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,64,"qualifying, intermediate bye or bye","preliminary rounds, qualifying rounds, rounds",10,association leagues and non-association league,20,all,1st round,,,,,,,16,partial,1st round,qualifying,,,,4,,,,,,,16,1st round,,,,,1910,1910,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,64,"qualifying, intermediate bye or bye","preliminary rounds, qualifying rounds, rounds",10,association leagues and non-association league,20,all,1st round,,,,,,,17,partial,1st round,qualifying,,,,3,,,,,,,15,1st round,,,,,1911,1912,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,64,"qualifying, intermediate bye or bye","preliminary rounds, qualifying rounds, rounds",10,association leagues and non-association league,20,all,1st round,,,,,,,18,partial,1st round,qualifying,,,,2,,,,,,,14,1st round,,,,,1913,1913,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,64,"qualifying, intermediate bye or bye","preliminary rounds, qualifying rounds, rounds",10,association leagues and non-association league,20,all,1st round,,,,,,,16,partial,1st round,qualifying,,4,,,,,,,,,16,1st round,,,,,1914,1914,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
1,league,<sport name>,,Football League,Football League,<sport name> league,Football League,12,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888,1890,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,4,election
1,alliance,<sport name>,,Football Alliance,Football Alliance,<sport name> alliance,Football Alliance,12,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889,1891,league,professional,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
1,league,<area> <sport name>,,Northern Football League,Northern Football League,<area> <sport name> league,Northern Football League,10,invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889,1889,league,both,men,2,1,0,goal average,double round-robin,,,,,,,TRUE,by draw,,,FALSE,0,,0,
