team_name,team_base,team_suffix,country_name,sport_name,season_founded,season_last
Widnes,Widnes,FC,UK,Rugby League,1895,1994
Widnes Dragons,Widnes,Dragons,UK,Rugby League,1946,1946
Widnes Rangers,Widnes,Rangers,UK,Rugby League,1905,1905
Widnes St Maries,Widnes St Maries,_,UK,Rugby League,1956,1956
Wigan,Wigan,FC,UK,Rugby League,1895,1994
Wigan Highfield,Wigan Highfield,RFC,UK,Rugby League,1903,1933
Wigan Rangers,Wigan,Rangers,UK,Rugby League,1933,1933
Wigan St Judes,Wigan St Judes,_,UK,Rugby League,1994,1994
Wigan St Patricks,Wigan St Patricks,ARLFC,UK,Rugby League,1988,1994
Windhill,Windhill,_,UK,Rugby League,1899,1902
Woolston Rovers,Woolston,Rovers,UK,Rugby League,1993,1994
Workington,Workington,_,UK,Rugby League,1898,1902
Workington Town,Workington Town,RLFC,UK,Rugby League,1945,1994
Worsley Boys Club,Worsley,Boys Club,UK,Rugby League,1949,1949
Worth Village,Worth Village,ARLFC,UK,Rugby League,1994,1994
York,York,FC,UK,Rugby League,1898,1988
York Acorn,York Acorn,ARLFC,UK,Rugby League,1993,1994
York Groves Utd,York Grove,United,UK,Rugby League,1910,1910
York Irish,York,Irish,UK,Rugby League,1909,1909
Yorkshire Amateurs,Yorkshire,Amateurs,UK,Rugby League,1946,1950
