occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Tennant Farmer,31,Tennant Farmer,UNCHANGED,Tennant,Tendant Farmer
2nd Mate,30,2nd Mate,UNCHANGED,2nd,Nd Mate
Agricul. Labourer,30,Agricul. Labourer,UNCHANGED,Agricul,Agricole. Labourer
Gnl Servant Domestic,30,Gnl Domestic Servant,WORD_ORDER,Gnl,Gol Domestic Servant
Labourer Agril,30,Labourer Agril,UNCHANGED,Agril,Labourer Agrin
Labourer Agrl.,30,Labourer Agrl.,UNCHANGED,Agrl,Labourer Agre.
Linnin Weaver,30,Linnin Weaver,UNCHANGED,Linnin,Linpin Weaver
Peintent All Laundresses Employed in Good Shepherd Convent,30,Peintent All Laundresses Employed in Good Shepherd Convent,UNCHANGED,Peintent,Penitent All Laundresses Employed in Good Shepherd Convent
Servent Domestic,30,Servent Domestic,UNCHANGED,Servent,Serment Domestic
Tailorers,30,Tailorers,UNCHANGED,Tailorers,Tailoress
Agril. Labourer,29,Agril. Labourer,UNCHANGED,Agril,Agrin. Labourer
Farner,29,Farner,UNCHANGED,Farner,Earner
Intrest on Money,29,Intrest on Money,UNCHANGED,Intrest,Intreat on Money
Laberor,29,Laberor,UNCHANGED,Laberor,Laveroc
Leabourer,29,Leabourer,UNCHANGED,Leabourer,Labourer
Schoolor,29,Schoolor,UNCHANGED,Schoolor,Schooler
Setmaker,29,Setmaker,UNCHANGED,Setmaker,Netmaker
Shepperd,29,Shepperd,UNCHANGED,Shepperd,Shepherd
Undergraduate R.U.I,29,Undergraduate R.U.I,UNCHANGED,R.U.I,Undergraduate Rauli
Asylum Attendt,28,Asylum Attendt,UNCHANGED,Attendt,Asylum Attends
Brassfounder,28,Brassfounder,UNCHANGED,Brassfounder,Brassbounder
Comercial Traveller,28,Comercial Traveller,UNCHANGED,Comercial,Commercial Traveller
Constable R I Consty,28,Constable R I Consty,UNCHANGED,Consty,Constable R I Const
Farmers Dughter,28,Farmers Dughter,UNCHANGED,Dughter,Farmers Dighter
Leabour,28,Leabour,UNCHANGED,Leabour,Labour
Religiense,28,Religiense,UNCHANGED,Religiense,Religieuse
Samster,28,Samster,UNCHANGED,Samster,Hamster
