occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Talor,18,Talor,UNCHANGED,Talor,Tailor
Commerical Traveller,17,Commerical Traveller,UNCHANGED,Commerical,Commercial Traveller
Farm Labrour,17,Farm Labrour,UNCHANGED,Labrour,Farm Labour
Farm Labrourer,17,Farm Labrourer,UNCHANGED,Labrourer,Farm Labourer
Farm Sevant,17,Farm Sevant,UNCHANGED,Sevant,Farm Servant
Genral Labour,17,Genral Labour,UNCHANGED,Genral,General Labour
Genral Servant Domestic,17,Genral Domestic Servant,WORD_ORDER,Genral,General Domestic Servant
Landuress,17,Landuress,UNCHANGED,Landuress,Laundress
Machiniest,17,Machiniest,UNCHANGED,Machiniest,Machinist
No Bussiness,17,No Bussiness,UNCHANGED,Bussiness,No Business
Schorlar,17,Schorlar,UNCHANGED,Schorlar,Scholar
Scolhar,17,Scolhar,UNCHANGED,Scolhar,Scholar
Wheelright,17,Wheelright,UNCHANGED,Wheelright,Wheelwright
Apprentic,16,Apprentic,UNCHANGED,Apprentic,Apprentice
Aprentice Carpenter,16,Aprentice Carpenter,UNCHANGED,Aprentice,Apprentice Carpenter
Aprentice Fitter,16,Aprentice Fitter,UNCHANGED,Aprentice,Apprentice Fitter
Camberic Weaver,16,Camberic Weaver,UNCHANGED,Camberic,Cambric Weaver
Carptener,16,Carptener,UNCHANGED,Carptener,Carpenter
Catle Dealer,16,Catle Dealer,UNCHANGED,Catle,Cattle Dealer
Domestic Servnt,16,Domestic Servnt,UNCHANGED,Servnt,Domestic Servant
Domistic Servant,16,Domistic Servant,UNCHANGED,Domistic,Domestic Servant
Domstic Servant,16,Domstic Servant,UNCHANGED,Domstic,Domestic Servant
Farme Labourer,16,Farme Labourer,STANDARD,Farme,Farmer Labourer
Farmer Servent,16,Farmer Servent,UNCHANGED,Servent,Farmer Servant
Farmer's Daugher,16,Farmer's Daugher,UNCHANGED,Daugher,Farmer's Daughter
General Labourar,16,General Labourar,UNCHANGED,Labourar,General Labourer
Generl Servant,16,Generl Servant,STANDARD,Generl,General Servant
Laubourer,16,Laubourer,UNCHANGED,Laubourer,Labourer
Market Gardiner,16,Market Gardiner,UNCHANGED,Gardiner,Market Gardener
Millright,16,Millright,UNCHANGED,Millright,Millwright
No Proffesion,16,No Proffesion,UNCHANGED,Proffesion,No Profession
Saimstress,16,Saimstress,UNCHANGED,Saimstress,Seamstress
Scholal,16,Scholal,UNCHANGED,Scholal,Scholar
Scholl Boy,16,Scholl Boy,UNCHANGED,Scholl,School Boy
Schololar,16,Schololar,UNCHANGED,Schololar,Scholar
Schoular,16,Schoular,UNCHANGED,Schoular,Scholar
Wool Spiner,16,Wool Spiner,STANDARD,Spiner,Wool Spinner
Agrcultural Labourer,15,Agrcultural Labourer,UNCHANGED,Agrcultural,Agricultural Labourer
Agricultur Labour,15,Agricultur Labour,UNCHANGED,Agricultur,Agriculture Labour
Augricultural Labourer,15,Augricultural Labourer,UNCHANGED,Augricultural,Agricultural Labourer
Catton Weaver,15,Catton Weaver,UNCHANGED,Catton,Cotton Weaver
Dessmaker,15,Dessmaker,UNCHANGED,Dessmaker,Dressmaker
Farm Labr,15,Farm Labr,UNCHANGED,Labr,Farm Lab
Farm Serant,15,Farm Serant,STANDARD,Serant,Farm Servant
General Labrourer,15,General Labrourer,UNCHANGED,Labrourer,General Labourer
Hankerchief Folder,15,Hankerchief Folder,UNCHANGED,Hankerchief,Handkerchief Folder
Labourar,15,Labourar,UNCHANGED,Labourar,Labourer
Laboures,15,Laboures,UNCHANGED,Laboures,Labourer
