occupation,count,corrected_occupation,change_category
Genl Servt-Domestic,46,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
Housekeper,46,Housekeeper,DICT_LOOKUP
Labourer (Agl),46,Agricultural Labourer,DICT_LOOKUP; NORMALIZATION
Labours,46,Labourer,DICT_LOOKUP
Shepherd Son,46,Shepherd's Son,DICT_LOOKUP
At Shool,45,At School,DICT_LOOKUP
Caretakers Daughter,45,Caretaker's Daughter,DICT_LOOKUP
Famers Daughter,45,Farmer's Daughter,DICT_LOOKUP
Farmers-Daughter,45,Farmer's Daughter,DICT_LOOKUP; NORMALIZATION
Shop Keepers Daughter,45,Shopkeeper's Daughter,DICT_LOOKUP
Farmeress Daughter,44,Farmeress's Daughter,DICT_LOOKUP
Plummer,44,Plumber,DICT_LOOKUP
Porter Railway,44,Railway Porter,DICT_LOOKUP
(General) Labourer,43,General Labourer,NORMALIZATION
Agricultural-Labourer,43,Agricultural Labourer,NORMALIZATION
Gen Servant-Domestic,43,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
Shop - Keeper,43,Shopkeeper,DICT_LOOKUP; NORMALIZATION
Shopkeepers Daughter,43,Shopkeeper's Daughter,DICT_LOOKUP
Winder-Linen,43,Winder Linen,NORMALIZATION
Paper Maker,42,Papermaker,DICT_LOOKUP
Parlourmaid-Domestic Servant,42,Parlourmaid Domestic Servant,NORMALIZATION
Policemans Son,42,Policeman's Son,DICT_LOOKUP
Salior,42,Sailor,DICT_LOOKUP
Herd Daughter,41,Herd's Daughter,DICT_LOOKUP
Shopman (Drapery),41,Shopman Drapery,NORMALIZATION
Tailors Daughter,41,Tailor's Daughter,DICT_LOOKUP
Van-Driver,41,Van Driver,NORMALIZATION
Farmer-Daughter,40,Farmer's Daughter,DICT_LOOKUP; NORMALIZATION
Fishermans Daughter,40,Fisherman's Daughter,DICT_LOOKUP
House-Maid Domestic Servant,40,House Maid Domestic Servant,NORMALIZATION
Labiour,40,Labourer,DICT_LOOKUP
Labrs Wife,40,Labourer's Wife,DICT_LOOKUP
Machanist,40,Machinist,DICT_LOOKUP
Buttler,39,Butler,DICT_LOOKUP
Clock Maker,39,Clockmaker,DICT_LOOKUP
Linen-Weaver,39,Linen Weaver,NORMALIZATION
Caretakers Wife,38,Caretaker's Wife,DICT_LOOKUP
Christian Brother (Novice),38,Christian Brother Novice,NORMALIZATION
Clerk (Commercial),38,Clerk Commercial,NORMALIZATION
Farm Laborour,38,Farm Labourer,DICT_LOOKUP
Flax-Dresser,38,Flax Dresser,NORMALIZATION
Frame Maker,38,Framemaker,DICT_LOOKUP
Publicans Wife,38,Publican's Wife,DICT_LOOKUP
Quay Labour,38,Quay Labourer,DICT_LOOKUP
Schol,38,Scholar,DICT_LOOKUP
Seamsterss,38,Seamstress,DICT_LOOKUP
Shool Boy,38,School Boy,DICT_LOOKUP
Shop keeper,38,Shopkeeper,DICT_LOOKUP
Shopkeepers Son,38,Shopkeeper's Son,DICT_LOOKUP
Spinner (Mill),38,Spinner Mill,NORMALIZATION
Washer-Woman,38,Washer Woman,NORMALIZATION
Book-Binder,37,Book Binder,NORMALIZATION
Corpenter,37,Carpenter,DICT_LOOKUP
Factory Hand-Milk,37,Factory Hand Milk,NORMALIZATION
Genl Labour,37,General Labourer,DICT_LOOKUP
Grocers Manager,37,Grocer's Manager,DICT_LOOKUP
Hous Wife,37,Housewife,DICT_LOOKUP
Laburer,37,Labourer,DICT_LOOKUP
Pensioner (Army),37,Pensioner Army,NORMALIZATION
Religious (Nun),37,Religious Nun,NORMALIZATION
Seamistress,37,Seamstress,DICT_LOOKUP
Weaver (Cambric),37,Weaver Cambric,NORMALIZATION
Blacksmiths Helper,36,Blacksmith's Helper,DICT_LOOKUP
Dairy-Man,36,Dairy Man,NORMALIZATION
Labour (General),36,Labour General,NORMALIZATION
Policemans Wife,36,Policeman's Wife,DICT_LOOKUP
Reeler-Linen,36,Reeler Linen,NORMALIZATION
Shop Keeper (Grocer),36,Shop Keeper Grocer,NORMALIZATION
Weaver (Damask),36,Weaver Damask,NORMALIZATION
Agricultural Labrour,35,Agricultural Labourer,DICT_LOOKUP
Domestic Serveant,35,Domestic Servant,DICT_LOOKUP
Farm Servant (Domestic),35,Farm Servant Domestic,NORMALIZATION
Farms Servant,35,Farm Servant,DICT_LOOKUP
House Maid-Domestic,35,House Maid Domestic,NORMALIZATION
