occupation,count,corrected_occupation,change_category
?,373,?,UNCHANGED
Baby,373,Baby,UNCHANGED
Draper Assistant,373,Draper Assistant,STANDARD
Mariner,373,Mariner,UNCHANGED
Book Binder,372,Book Binder,STANDARD
Ploughman,370,Ploughman,UNCHANGED
Fancy Box Maker,369,Fancy Box Maker,STANDARD
Farmer's,368,Farmer's,UNCHANGED
Typist,368,Typist,UNCHANGED
Farmer's Servant,366,Farmer's Servant,STANDARD
Stationer,366,Stationer,UNCHANGED
Bank Official,365,Bank Official,UNCHANGED
Flax Rougher,365,Flax Rougher,STANDARD
Journalist,365,Journalist,STANDARD
Wine Porter,365,Wine Porter,STANDARD
Grocer and Publican,364,Grocer and Publican,UNCHANGED
Land Owner,364,Land Owner,STANDARD
Kitchen Maid,361,Kitchen Maid,STANDARD
Laundry Worker,361,Laundry Worker,UNCHANGED
Land Agent,360,Land Agent,UNCHANGED
Domestic Work,358,Domestic Work,STANDARD
Farmer and Shopkeeper,357,Farmer and Shopkeeper,STANDARD
Nurse Domestic,354,Nurse Domestic,STANDARD
Corporation Labourer,352,Corporation Labourer,STANDARD
Flax Scutcher,349,Flax Scutcher,STANDARD
Flax Spreader,349,Flax Spreader,STANDARD
Housework,348,Housework,STANDARD
Knitting,348,Knitting,UNCHANGED
Master Mariner,348,Master Mariner,STANDARD
Labourer's Son,344,Labourer's Son,STANDARD
Taylor,344,Taylor,UNCHANGED
Vest Maker,342,Vest Maker,STANDARD
Landress,341,Landress,UNCHANGED
Postmistress,341,Postmistress,STANDARD
Cattle Drover,339,Cattle Drover,STANDARD
Yarn Spinner,339,Yarn Spinner,STANDARD
Labourer Agrl,336,Labourer Agrl,STANDARD
Working on Farm,336,Working on Farm,UNCHANGED
Not Employed,335,Not Employed,STANDARD
Bread Server,334,Bread Server,STANDARD
Farm Assistant,333,Farm Assistant,STANDARD
Farmer and Grocer,333,Farmer and Grocer,UNCHANGED
Waitress,333,Waitress,UNCHANGED
Inmate,332,Inmate,UNCHANGED
Labour General,332,Labour General,STANDARD
