NAME,gender,1996_count,1997_count,1998_count,1999_count,2000_count,count,90sCount
ABDINUR,M,0,0,0,0,0,3,0
ABDIQANI,M,0,0,0,0,0,26,0
ABDIRAHIIM,M,0,0,0,0,0,3,0
ABDIRAHIM,M,0,0,0,3,0,77,3
ABDIRAHMAAN,M,0,0,0,0,0,7,0
ABDIRASHID,M,0,0,0,0,3,35,3
ABDIRAZAQ,M,0,0,0,0,0,3,0
ABDIRISAK,M,0,0,0,0,0,3,0
ABDIRISAQ,M,0,0,3,3,0,22,6
ABDIRIZAK,M,0,3,0,0,0,29,3
ABDISALAM,M,0,0,0,0,0,15,0
ABDISAMAD,M,0,0,0,0,0,25,0
ABDISHAKUR,M,0,0,0,4,0,43,4
ABDIWAHAB,M,0,0,0,0,0,3,0
ABDIWAHID,M,0,0,0,0,0,3,0
ABDIWALI,M,3,0,0,0,0,3,3
ABDOU,M,0,4,3,4,4,41,15
ABDOUL,M,0,0,0,0,0,34,0
ABDOULAYE,M,0,0,0,0,0,17,0
ABDOULIE,M,3,3,0,0,0,87,6
ABDOULLAH,M,0,0,0,0,0,3,0
ABDOURAHMAN,M,0,0,0,0,0,10,0
ABDU,M,5,0,0,0,0,19,5
ABDUALLAH,M,0,0,0,0,0,6,0
ABDUL-,M,0,0,0,0,0,19,0
ABDULA,M,0,0,0,0,0,12,0
ABDULAAHI,M,0,0,0,0,0,8,0
ABDULAH,M,3,3,3,0,0,26,9
ABDULAHAD,M,0,0,0,0,0,22,0
ABDUL-AHAD,M,0,0,0,0,0,35,0
ABDULAHI,M,0,3,5,8,7,271,23
ABDULAI,M,0,0,0,0,0,15,0
ABDULALEEM,M,0,0,0,0,0,3,0
ABDUL-ALEEM,M,0,0,0,0,0,3,0
ABDULAZEEZ,M,3,0,0,0,0,19,3
ABDUL-AZEEZ,M,4,3,5,3,0,24,15
ABDULAZIZ,M,7,8,9,6,4,289,34
ABDUL-AZIZ,M,3,5,3,3,0,49,14
ABDUL-BAASIT,M,0,0,0,0,0,3,0
ABDULBASIT,M,0,0,0,3,0,35,3
ABDUL-BASIT,M,0,0,0,0,0,3,0
ABDULFATAH,M,0,0,0,0,0,3,0
ABDUL-HAADI,M,0,0,0,0,0,17,0
ABDULHADI,M,0,0,0,0,0,63,0
ABDUL-HADI,M,0,0,0,0,0,51,0
ABDULHAKEEM,M,0,0,0,0,0,15,0
ABDUL-HAKEEM,M,0,0,0,0,3,38,3
ABDULHAKIM,M,0,0,0,3,0,20,3
ABDUL-HAKIM,M,0,0,0,0,0,6,0
ABDULHALIM,M,0,0,0,0,0,3,0
ABDULHAMEED,M,0,0,0,0,0,8,0
ABDULHAMID,M,4,0,0,0,0,11,4
ABDUL-HANNAN,M,0,0,0,0,0,6,0
ABDUL-HASEEB,M,0,0,0,3,0,3,3
ABDULILAH,M,0,0,0,0,0,3,0
ABDULKADER,M,0,0,0,0,0,3,0
ABDULKADIR,M,7,0,7,5,3,119,22
ABDULKAREEM,M,0,0,0,0,0,30,0
ABDUL-KAREEM,M,3,0,0,0,0,29,3
ABDULKARIM,M,0,3,3,0,4,52,10
ABDUL-KARIM,M,0,0,3,0,0,6,3
ABDULKHALIQ,M,0,0,0,0,0,3,0
ABDULLAAH,M,0,3,0,0,5,73,8
ABDULLAAHI,M,0,0,0,0,0,10,0
ABDULLAHI,M,18,21,11,21,23,793,94
ABDULLATEEF,M,0,0,0,0,0,9,0
ABDUL-LATEEF,M,0,0,0,0,0,9,0
ABDULLATIF,M,0,0,4,0,0,7,4
ABDULLOH,M,0,0,0,0,0,3,0
ABDULMAJEED,M,0,0,0,0,0,9,0
ABDULMAJID,M,0,0,0,0,0,26,0
ABDULMALEK,M,0,0,0,0,0,3,0
ABDULMALIK,M,0,5,0,5,0,150,10
ABDUL-MALIK,M,0,0,0,3,0,55,3
ABDUL-MANNAN,M,0,0,0,0,0,3,0
ABDUL-MATEEN,M,0,0,0,0,0,3,0
ABDUL-MOMIN,M,0,0,0,0,0,5,0
ABDUL-MUIZ,M,0,0,0,0,0,3,0
ABDUL-NASIR,M,0,3,0,0,0,3,3
ABDULQADIR,M,0,0,0,0,0,60,0
ABDUL-QADIR,M,0,0,0,0,0,4,0
ABDUL-QAYYUM,M,0,0,0,0,0,3,0
ABDULRAHEEM,M,0,4,0,0,0,65,4
ABDUL-RAHEEM,M,0,0,4,0,5,96,9
ABDULRAHIM,M,0,4,0,4,4,78,12
ABDUL-RAHIM,M,0,0,0,0,0,24,0
ABDUL-RAHMAN,M,0,5,7,3,4,146,19
ABDULREHMAN,M,0,0,0,0,0,31,0
ABDUL-REHMAN,M,0,0,0,0,0,16,0
ABDULSALAM,M,0,0,0,0,0,29,0
ABDULSAMAD,M,0,0,0,0,0,36,0
ABDUL-SAMAD,M,0,0,3,0,0,10,3
ABDUL-SAMI,M,0,0,0,0,0,18,0
ABDUL-WAHAAB,M,0,0,0,0,0,6,0
ABDULWAHAB,M,3,3,0,0,0,51,6
ABDUL-WAHAB,M,0,0,0,0,0,3,0
ABDULWAHHAB,M,0,0,0,0,0,3,0
ABDUL-WAHHAB,M,0,0,0,0,0,12,0
ABDULWAHID,M,0,0,0,0,0,5,0
ABDUL-WASAY,M,0,0,0,0,0,3,0
ABDUR,M,9,8,5,14,20,534,56
ABDURAHEEM,M,0,0,0,0,0,3,0
ABDURAHIM,M,0,0,0,0,0,3,0
ABDURAHMAN,M,4,3,8,7,9,311,31
ABDUR-RAFAY,M,0,0,0,0,0,3,0
ABDURRAHEEM,M,0,0,0,0,0,55,0
ABDUR-RAHEEM,M,0,0,0,5,0,103,5
ABDURRAHIM,M,0,0,0,3,0,10,3
ABDUR-RAHIM,M,0,0,0,0,3,12,3
ABDURRAHMAAN,M,0,0,0,0,3,64,3
ABDUR-RAHMAAN,M,3,0,4,0,0,75,7
ABDURRAHMAN,M,0,6,7,6,9,462,28
ABDUR-RAHMAN,M,5,4,3,9,13,355,34
ABDURREHMAN,M,0,0,0,0,0,15,0
ABDUR-REHMAN,M,3,0,0,3,0,34,6
ABDUS,M,0,7,5,3,9,106,24
ABDUSALAM,M,0,0,0,0,0,3,0
ABDUSSALAM,M,0,0,0,0,0,7,0
ABDUSSAMAD,M,0,0,0,0,0,3,0
ABDUS-SAMAD,M,0,0,0,0,0,19,0
ABDUS-SAMI,M,0,0,0,0,0,7,0
ABEDA,F,3,3,0,3,3,15,12
ABEED,M,0,3,0,0,0,3,3
ABEEDA,F,0,0,0,0,0,13,0
ABEEDAH,F,0,0,0,0,0,3,0
ABEEHA,F,0,0,0,0,0,160,0
ABEEL,M,0,0,0,0,0,3,0
ABEER,F,0,0,0,6,0,89,6
ABEER,M,0,0,0,0,0,35,0
ABEERA,F,0,0,0,0,0,123,0
ABEERAH,F,0,0,0,0,0,33,0
ABELA,F,0,0,0,0,0,3,0
ABELLA,F,0,0,0,0,0,11,0
ABEN,M,0,0,0,0,0,3,0
ABENA,F,3,3,6,9,6,146,27
ABENEZER,M,0,0,0,0,0,7,0
ABENI,F,0,0,0,0,0,6,0
ABHAY,M,0,4,4,0,0,146,8
ABHI,M,0,0,0,0,0,27,0
ABHIA,F,0,0,0,0,0,3,0
ABHIJAY,M,0,0,0,0,0,8,0
ABHIJEET,M,0,4,0,3,0,22,7
ABHIJIT,M,0,0,0,0,0,3,0
ABHIJITH,M,0,0,0,0,0,3,0
ABHIJOT,M,0,0,0,0,0,27,0
ABHIMANYU,M,0,0,0,0,0,16,0
ABHINAV,M,5,3,0,5,0,177,13
ABHIRAJ,M,0,0,0,0,0,32,0
ABHIRAM,M,0,0,0,0,0,38,0
ABHIRAMI,F,0,0,0,0,0,3,0
ABHISHEK,M,5,11,7,5,13,125,41
ABIA,F,0,0,0,0,0,88,0
ABIBAT,F,3,0,0,0,0,3,3
ABID,M,13,26,19,21,19,388,98
ABIDA,F,19,28,19,24,30,433,120
ABIDAH,F,3,0,0,0,7,73,10
ABIDEEN,M,0,0,0,0,0,3,0
ABIDEMI,F,0,0,0,0,0,3,0
ABIDUL,M,4,0,0,0,0,7,4
ABIDUR,M,0,6,5,4,4,54,19
ABIE,M,0,0,3,0,0,12,3
ABIEL,M,0,0,0,0,0,11,0
ABIEYUWA,F,0,0,0,0,0,3,0
ABIGAIL-LOUISE,F,0,0,0,0,0,6,0
ABIGAIL-ROSE,F,0,0,0,0,0,17,0
ABIGEL,F,0,0,0,0,0,18,0
ABIHA,F,0,0,0,0,0,169,0
ABIJAH,M,0,0,0,0,0,3,0
ABIJOT,M,0,0,0,0,0,3,0
ABILASH,M,0,0,0,0,0,9,0
ABI-LEIGH,F,0,0,0,0,0,16,0
ABILENE,F,0,0,0,0,0,3,0
ABI-LOUISE,F,0,0,0,0,0,10,0
ABI-MAE,F,0,0,0,0,0,3,0
ABIMBOLA,M,0,0,0,0,0,4,0
ABINA,F,0,0,0,0,0,10,0
ABINAASH,M,0,0,0,0,0,3,0
ABINASH,M,0,0,0,0,3,25,3
ABINAYA,F,0,3,0,0,0,86,3
ABINAYAN,M,0,0,0,0,0,3,0
ABINESH,M,0,0,0,0,0,12,0
ABIODUN,M,3,0,3,0,0,9,6
ABIODUN,F,0,0,0,0,0,3,0
ABIOLA,M,0,3,0,0,3,27,6
ABIONA,F,0,0,0,0,0,3,0
ABIRA,F,0,0,0,4,0,39,4
ABIRAJ,M,0,0,0,0,0,3,0
ABIRAMY,F,0,0,0,0,0,6,0
ABISAN,M,0,0,0,0,0,11,0
ABISHA,F,0,0,0,0,0,84,0
ABISHAI,M,0,0,0,0,0,3,0
ABISHAKE,M,0,0,0,0,0,3,0
ABISHAN,M,0,0,0,0,0,49,0
ABISHEK,M,0,0,0,0,0,22,0
ABISOYE,F,3,0,0,0,0,3,3
ABITHA,F,0,0,0,0,0,7,0
ABITHAN,M,0,0,0,0,0,3,0
ABIYA,F,0,0,0,0,0,3,0
ABIZER,M,0,0,0,0,0,5,0
ABLA,F,0,0,0,0,0,3,0
ABNER,M,0,0,0,0,0,19,0
ABOU,M,0,0,0,0,0,3,0
ABOUBACAR,M,0,0,0,0,0,20,0
ABOUBAKAR,M,0,0,0,0,0,6,0
ABRA,F,0,0,0,0,0,3,0
ABRAAR,M,3,6,0,0,4,21,13
ABRAAR,F,0,0,0,0,0,3,0
ABRAHIM,M,5,0,4,0,0,48,9
ABRAR,M,10,5,5,9,8,137,37
ABRAR,F,0,3,0,4,0,78,7
ABRIANNA,F,0,0,0,0,0,17,0
ABRIEL,M,0,0,0,0,0,4,0
ABRIELLA,F,0,0,0,0,0,6,0
ABRIELLE,F,0,0,0,0,0,18,0
ABRISH,F,0,0,0,0,0,28,0
ABSAR,M,0,0,0,3,0,11,3
ABSHIR,M,0,0,0,0,0,18,0
