NAME,gender,count,90sCount,AdjustedCount
AMYLEIGH,F,81,28,81
AMY-LEIGH,F,335,77,335
AMY-LOUISE,F,344,140,344
AMY-MAY,F,65,7,65
AMY-ROSE,F,105,14,105
ANA,F,1834,248,1834
ANABEL,F,432,52,432
ANABELL,F,36,0,12
ANABELLA,F,228,0,76
ANABELLE,F,715,28,715
ANAH,F,124,19,124
ANAHITA,F,77,8,77
ANAIAH,F,162,0,54
ANAIS,F,1812,174,1812
ANAIYA,F,508,3,508
ANALEIGH,F,24,0,8
ANALIESE,F,22,0,7
ANALISA,F,6,3,6
ANALISE,F,120,14,120
ANAM,F,458,123,458
ANAMIKA,F,55,8,55
ANANYA,F,472,24,472
ANASTACIA,F,156,0,52
ANASTASIA,F,2574,606,2574
ANASTASIJA,F,89,0,30
ANASTAZIA,F,38,9,38
ANAYA,F,2363,27,2363
ANCHAL,F,5,5,5
ANDI,F,93,34,93
ANDIE,F,168,70,168
ANDRADA,F,20,0,7
ANDREA,F,5338,408,5338
ANDREIA,F,94,23,94
ANDRIA,F,27,8,27
ANDRIANA,F,75,8,75
ANDRIANNA,F,19,9,19
ANEEKA,F,289,103,289
ANEELA,F,96,44,96
ANEEQA,F,235,69,235
ANEEQAH,F,22,7,22
ANEESA,F,904,350,904
ANEESAH,F,438,167,438
ANEESHA,F,217,66,217
ANEEZA,F,7,4,7
ANEKA,F,52,26,52
ANESHA,F,50,15,50
ANEST,F,72,11,72
ANETA,F,48,3,48
ANEZKA,F,21,3,21
ANFAL,F,72,11,72
ANGE,F,32,0,11
ANGEL,F,7029,967,7029
ANGELA,F,13816,359,13816
ANGELENA,F,3,3,3
ANGELICA,F,1124,175,1124
ANGELIKA,F,235,14,235
ANGELINA,F,1791,120,1791
ANGELINE,F,127,15,127
ANGELIQUE,F,175,41,175
ANGELLE,F,15,4,15
ANGEL-ROSE,F,71,3,71
ANGHARAD,F,883,468,883
ANGIE,F,129,36,129
ANH,F,86,7,86
ANIA,F,349,37,349
ANICA,F,24,4,24
ANIELA,F,243,9,243
ANIELLA,F,15,3,15
ANIKA,F,1502,292,1502
ANIKE,F,7,4,7
ANILA,F,103,40,103
ANIQA,F,306,128,306
ANIQAH,F,122,57,122
ANISA,F,2222,686,2222
ANISAH,F,876,348,876
ANISE,F,68,4,68
ANISHA,F,1532,522,1532
ANISHAH,F,15,9,15
ANISSA,F,178,38,178
ANITA,F,3247,274,3247
ANIYA,F,338,0,113
ANJA,F,419,84,419
ANJALI,F,892,209,892
ANJANA,F,71,16,71
ANJANI,F,26,9,26
ANJELICA,F,37,4,37
ANJLI,F,15,12,15
ANJOLAOLUWA,F,153,9,153
ANJULI,F,9,9,9
ANJUM,F,135,39,135
ANJUMA,F,98,32,98
ANJUMAN,F,9,9,9
ANKITA,F,65,16,65
ANMOL,F,226,68,226
ANN,F,18508,197,18508
ANNA,F,28268,7134,28268
ANNABEL,F,8757,2085,8757
ANNABELL,F,360,39,360
ANNABELLA,F,1349,101,1349
ANNABELLE,F,9881,1245,9881
ANNABETH,F,55,0,18
ANNAIS,F,9,4,9
ANNALEA,F,23,12,23
ANNALEE,F,70,21,70
ANNA-LEE,F,14,8,14
ANNALEIGH,F,81,9,81
ANNA-LEIGH,F,54,22,54
ANNALEISE,F,67,7,67
ANNALESE,F,53,3,53
ANNALIE,F,37,16,37
ANNALIESE,F,411,56,411
ANNALISA,F,150,38,150
ANNALISE,F,1821,328,1821
ANNALIZE,F,10,4,10
ANNA-LOUISE,F,117,58,117
ANNAM,F,105,34,105
ANNA-MAE,F,50,3,50
ANNAMARIA,F,59,8,59
ANNA-MARIA,F,166,37,166
ANNAMARIE,F,26,15,26
ANNA-MARIE,F,138,73,138
ANNA-MAY,F,54,10,54
ANNA-ROSE,F,75,20,75
ANNASTASIA,F,56,33,56
ANNAYA,F,71,4,71
ANNE,F,16596,302,16596
ANNEKA,F,192,73,192
ANNEKE,F,20,13,20
ANNELIE,F,50,0,17
ANNELIESE,F,291,52,291
ANNELISE,F,239,29,239
ANNEMARIE,F,65,28,65
ANNE-MARIE,F,317,141,317
ANNEST,F,22,10,22
ANNETTE,F,1636,50,1636
ANNI,F,123,6,123
ANNICE,F,52,18,52
ANNIE,F,20502,1976,20502
ANNIE-MAE,F,86,10,86
ANNIE-MAY,F,130,23,130
ANNIE-ROSE,F,127,27,127
ANNIKA,F,620,75,620
ANNIS,F,72,19,72
ANNISA,F,32,19,32
ANNISE,F,3,0,1
ANNISHA,F,13,7,13
ANNIYAH,F,267,0,89
ANNMARIE,F,132,44,132
ANN-MARIE,F,259,114,259
ANNUM,F,26,9,26
ANNYA,F,68,12,68
ANOUK,F,238,7,238
ANOUSHA,F,77,4,77
ANOUSHKA,F,647,93,647
ANOUSKA,F,167,75,167
ANSA,F,79,41,79
ANTHEA,F,97,37,97
ANTHONIA,F,22,15,22
ANTIGONE,F,44,6,44
ANTOINETTE,F,193,84,193
ANTONELLA,F,103,16,103
ANTONIA,F,2994,1114,2994
ANTONIETTA,F,15,11,15
ANTONINA,F,416,12,416
ANU,F,20,8,20
ANUM,F,459,102,459
ANUOLUWAPO,F,102,16,102
ANUSHA,F,294,55,294
ANUSHKA,F,531,57,531
ANVI,F,100,0,33
ANWEN,F,527,52,527
ANWYN,F,35,0,12
ANYA,F,6416,857,6416
AOIBH,F,3,0,1
AOIBHE,F,38,0,13
AOIBHEANN,F,57,0,19
AOIBHIN,F,3,0,1
AOIFE,F,3154,469,3154
AOIFE-BELLE,F,8,0,3
AOIFFE,F,3,3,3
APHRA,F,75,17,75
APOLLONIA,F,20,3,20
APOLONIA,F,27,0,9
APPHIA,F,26,0,9
APRIL,F,3480,1051,3480
APRYL,F,56,17,56
AQEELA,F,29,10,29
AQEELAH,F,33,7,33
AQILA,F,23,8,23
AQSA,F,1382,216,1382
AQSAH,F,29,11,29
ARABELLA,F,3306,265,3306
ARABELLE,F,82,0,27
ARAMINTA,F,177,38,177
ARAYA,F,100,0,33
ARCHANA,F,47,17,47
ARDEN,F,30,10,30
AREEBA,F,512,61,512
AREEJ,F,207,28,207
AREFA,F,8,4,8
ARFA,F,177,11,177
ARIA,F,1575,28,1575
ARIADNE,F,201,16,201
ARIAH,F,96,0,32
ARIAN,F,44,17,44
ARIANA,F,2353,106,2353
ARIANE,F,270,79,270
ARIANNA,F,1336,119,1336
ARIANNE,F,371,102,371
ARIANWEN,F,90,12,90
ARIBA,F,139,7,139
ARIBAH,F,179,7,179
ARIEL,F,220,21,220
ARIELA,F,69,0,23
ARIELE,F,15,0,5
ARIELLA,F,646,42,646
ARIELLE,F,294,33,294
ARIENNE,F,11,0,4
ARIFA,F,171,37,171
ARIFAH,F,87,11,87
ARIJ,F,41,10,41
ARINA,F,184,3,184
ARISHA,F,375,15,375
ARISSA,F,411,0,137
ARIYA,F,237,0,79
ARIZONA,F,62,19,62
ARLA,F,93,0,31
ARLENE,F,17,3,17
ARLINDA,F,16,4,16
ARMANI,F,338,54,338
ARMELA,F,28,3,28
ARNYA,F,11,3,11
AROOB,F,30,11,30
AROOJ,F,383,107,383
AROOSA,F,145,75,145
AROUSA,F,3,3,3
AROUSH,F,354,0,118
ARRABELLA,F,50,0,17
ARRIANNE,F,8,8,8
ARRIELLA,F,5,0,2
ARRIETTY,F,59,0,20
ARTEMIS,F,160,20,160
ARTI,F,10,7,10
ARUB,F,32,18,32
ARUBA,F,13,3,13
ARUSA,F,17,12,17
ARWA,F,390,31,390
ARWEN,F,606,8,606
ARWYN,F,36,0,12
ARYA,F,1097,6,1097
ARZOO,F,171,37,171
ARZU,F,81,8,81
ASENA,F,22,12,22
ASFA,F,3,3,3
ASHA,F,1422,393,1422
ASHANTI,F,473,22,473
ASHDEN,F,6,3,6
ASHDON,F,7,4,7
ASHER,F,82,35,82
ASHIA,F,82,39,82
ASHIKA,F,53,16,53
ASHLEA,F,370,168,370
ASHLEAH,F,3,3,3
ASHLEE,F,700,116,700
ASHLEEN,F,71,4,71
ASHLEIGH,F,8481,3601,8481
ASHLEIGH-JADE,F,3,3,3
ASHLEIGH-LOUISE,F,8,8,8
ASHLEIGH-MARIE,F,11,3,11
ASHLEY,F,2462,930,2462
ASHLI,F,34,9,34
ASHLIE,F,183,67,183
ASHLIN,F,45,14,45
ASHLING,F,59,23,59
ASHLYN,F,355,67,355
ASHLYNN,F,50,3,50
ASHNA,F,119,20,119
ASHNI,F,54,15,54
ASHTON,F,334,158,334
ASHWINI,F,54,15,54
ASIA,F,845,159,845
ASIMA,F,35,10,35
ASIYA,F,730,63,730
ASIYAH,F,295,28,295
ASLI,F,80,12,80
ASMA,F,997,198,997
ASMAA,F,447,66,447
ASMAH,F,23,7,23
ASMI,F,11,0,4
ASPEN,F,68,6,68
ASRA,F,117,10,117
ASSIA,F,93,13,93
ASTER,F,34,0,11
ASTON,F,73,46,73
ASTRA,F,30,19,30
ASTRID,F,787,85,787
ASUKA,F,3,3,3
ASYA,F,284,34,284
ATALANTA,F,36,26,36
ATALIA,F,30,7,30
ATALYA,F,19,9,19
ATENE,F,35,0,12
ATHEA,F,28,7,28
ATHENA,F,1177,199,1177
ATHENE,F,57,17,57
ATHINA,F,109,33,109
ATIA,F,48,9,48
ATIFA,F,75,17,75
ATIKA,F,96,16,96
ATIKAH,F,32,11,32
ATIYA,F,266,62,266
ATIYAH,F,73,19,73
ATIYYAH,F,51,18,51
ATLANTA,F,615,359,615
ATLANTIS,F,26,7,26
ATTIYA,F,24,15,24
AUBREE,F,252,0,84
AUBREY,F,239,0,80
AUBRIE,F,26,0,9
AUDREY,F,9360,57,9360
AUDRIE,F,3,0,1
AUGUST,F,20,9,20
AUGUSTA,F,74,35,74
AUGUSTE,F,102,0,34
AURA,F,112,7,112
AURELIA,F,1058,45,1058
AURELIE,F,90,8,90
AURIANNA,F,3,0,1
AURIEL,F,6,3,6
AURIELLA,F,3,0,1
AURIKA,F,3,0,1
AURORA,F,1660,94,1660
AUTUMN,F,2858,352,2858
AVA,F,30832,335,30832
AVA-GRACE,F,404,0,135
AVA-LEIGH,F,162,0,54
AVALON,F,117,33,117
AVANGELINE,F,7,0,2
AVANI,F,437,32,437
AVERIL,F,3,3,3
AVERY,F,187,3,187
AVIE,F,87,0,29
AVIGAIL,F,28,3,28
AVIGAYIL,F,6,0,2
AVITA,F,3,3,3
AVITAL,F,49,10,49
AVIVA,F,23,3,23
AVNEET,F,605,65,605
AVNI,F,303,29,303
AVRIL,F,197,33,197
AWEL,F,73,13,73
AWEN,F,142,26,142
AWO,F,34,10,34
AYA,F,1132,79,1132
AYAAN,F,97,13,97
AYAH,F,791,50,791
AYALA,F,67,7,67
AYAN,F,274,62,274
AYANA,F,603,20,603
AYANNA,F,257,33,257
AYASHA,F,21,14,21
AYAT,F,435,3,435
AYEESHA,F,74,14,74
AYEISHA,F,64,26,64
AYELET,F,22,3,22
AYESHA,F,4788,1147,4788
AYESHAH,F,62,14,62
AYESHIA,F,9,9,9
AYISHA,F,322,104,322
AYLA,F,2435,142,2435
AYLIN,F,233,30,233
AYLISH,F,27,24,27
AYLISHA,F,12,12,12
AYMAN,F,151,32,151
AYNSLEY,F,3,3,3
AYODELE,F,6,3,6
AYOMIDE,F,301,52,301
AYOMIKUN,F,40,9,40
AYRA,F,334,0,111
AYSE,F,503,125,503
AYSEL,F,30,7,30
AYSENUR,F,22,3,22
AYSHA,F,1934,513,1934
AYSHE,F,19,7,19
AYSHIA,F,22,7,22
AYSIA,F,63,8,63
AYUSHI,F,112,14,112
AYZA,F,83,0,28
AZALEA,F,89,0,30
AZARA,F,39,3,39
AZARIA,F,248,50,248
AZIA,F,7,4,7
AZIZA,F,169,24,169
AZIZAH,F,66,7,66
AZMINA,F,11,11,11
AZRA,F,359,30,359
AZRAA,F,24,15,24
BABITA,F,7,7,7
BABY,F,134,8,134
BAHAR,F,115,18,115
BAILA,F,15,3,15
BAILEE,F,151,3,151
BAILEIGH,F,80,6,80
BAILEY,F,1604,247,1604
BAILIE,F,98,25,98
BAILLIE,F,22,11,22
BAKHTAWAR,F,18,7,18
BALDEEP,F,8,8,8
BALI,F,10,3,10
BALQIS,F,38,0,13
BAMBI,F,3,0,1
BANA,F,37,0,12
BANITA,F,28,12,28
BANU,F,8,0,3
BARAN,F,13,0,4
BARBARA,F,21322,94,21322
BARLEY,F,8,0,3
BASMA,F,99,9,99
BASYA,F,17,4,17
BATHSHEBA,F,3,3,3
BATOOL,F,112,14,112
BATSHEVA,F,98,15,98
BAY,F,121,0,40
BAYAN,F,63,7,63
BAYLA,F,11,3,11
BAYLEE,F,176,33,176
BAYLEIGH,F,294,60,294
BAYLEY,F,144,36,144
BAYLIE,F,85,10,85
BEA,F,242,3,242
BEATA,F,45,0,15
BEATRICE,F,11702,707,11702
BEATRIS,F,21,0,7
BEATRISE,F,3,0,1
BEATRIX,F,1655,90,1655
BEATRIZ,F,444,31,444
BEATTIE,F,3,3,3
BEAU,F,2007,29,2007
BEAUTY,F,4,0,1
BEAUX,F,120,0,40
BEBE,F,152,3,152
BECA,F,284,27,284
BECCA,F,73,8,73
BECCI,F,15,7,15
BECKI,F,56,34,56
BECKIE,F,90,62,90
BECKY,F,965,577,965
BEGUM,F,24,15,24
BEIBHINN,F,7,3,7
BEKKI,F,13,6,13
BELA,F,82,0,27
BELICIA,F,17,0,6
BELINA,F,8,0,3
BELINDA,F,325,156,325
BELLA,F,6815,131,6815
BELLA-MAE,F,74,0,25
BELLA-MAY,F,44,0,15
BELLATRIX,F,14,0,5
BELLE,F,1339,50,1339
BELYNDA,F,3,3,3
BENEDICTA,F,56,11,56
BENEDICTE,F,46,13,46
BENICIA,F,3,0,1
BENITA,F,159,28,159
BEREN,F,61,0,20
BERENICE,F,60,3,60
BERFIN,F,222,58,222
BERIVAN,F,37,21,37
BERNADETTE,F,355,159,355
BERNADINE,F,3,3,3
BERNICE,F,236,64,236
BERRA,F,18,0,6
BERRI,F,11,0,4
BERRIE,F,28,0,9
BERRY,F,106,7,106
BERTA,F,7,0,2
BERTHA,F,1567,0,522
BERYL,F,6026,13,6026
BESARTA,F,5,5,5
BESS,F,89,8,89
BESSIE,F,1925,18,1925
BESSY,F,3,0,1
BETH,F,6851,2605,6851
BETHAN,F,8336,3477,8336
BETHANE,F,3,3,3
BETHANEE,F,4,4,4
BETHANEY,F,153,110,153
BETHANI,F,64,28,64
BETHANIE,F,948,548,948
BETHANN,F,6,0,2
BETH-ANNE,F,10,10,10
BETHANNEY,F,3,3,3
BETHANNIE,F,52,41,52
BETHANY,F,44380,20215,44380
BETHANY-ANN,F,27,15,27
BETHANY-ANNE,F,28,15,28
BETHANY-JADE,F,3,3,3
BETHANY-JANE,F,16,10,16
BETHANY-JAYNE,F,10,10,10
BETHANY-JO,F,7,4,7
BETHANY-LOUISE,F,18,6,18
BETHANY-MAE,F,6,3,6
BETHANY-ROSE,F,79,26,79
BETHEL,F,164,5,164
BETHEN,F,21,21,21
BETHENY,F,36,27,36
BETHIA,F,94,22,94
