firstNameCap,count
FESTUS,115
JUDY,115
JULIANNE,115
SAMUL,115
AGATHA,114
TRESA,114
IGNATIUS,113
JOSHNA,113
MARCY,113
WALLACE,113
CONSTANTINE,111
DORIS,111
JOSIAH,110
PATTRICK,110
SELENA,110
WINAFRED,110
CHRISTIAN,109
ED,109
IVY,109
NINA,109
ELIZZABETH,108
KATHERN,108
MORTY,108
PATHRICK,108
HECTOR,107
HORACE,107
JULIAN,107
JULIE,107
LIZABETH,107
NORIA,107
CATHEREN,106
DECLAN,106
MARGRETH,106
MINNE,106
EZEKIEL,105
NELSON,105
SIBINA,105
ANNETTE,104
DINA,104
EASTHER,104
HANA,104
ISEBELLA,104
MARGARIT,104
NOEL,104
ANGELINA,103
CLAUDE,103
HENARY,103
JULA,103
BARRY,102
ELIAS,102
KELLY,102
RITCHARD,102
RONALD,102
ROSANN,102
EMMIE,101
FREDERIC,101
MURTAGH,101
PATRICIA,101
PENELOPE,101
ALEXANDRA,100
CORMACK,100
GERTIE,100
RODERICK,100
HILL,99
ISAIAH,99
JOSEPHINA,99
KENNETH,99
LAVINA,99
TERESIA,99
BESSEY,98
ELIZ,98
GEORGENA,98
MAMIE,98
MILLIE,98
REBBECCA,98
EPHRAIM,97
GILEY,97
KATLEEN,97
MOORE,97
MORIA,97
ELINOR,96
GODFREY,96
MYRA,96
ROWLAND,96
TERRANCE,96
BARTHOLEMEW,95
BARTHW,95
ALOYSIUS,94
GEORGIE,94
REBACCA,94
WINIFORD,94
ELLENA,93
JHON,93
MURTHA,93
PHEOBE,93
ROLAND,93
ABRAM,92
ANTHONEY,92
ESSY,92
FESTY,92
ISA,92
LIONEL,92
MARTH,92
MENNIE,92
MURPHY,92
BRIDGED,91
DICK,91
SUSANAH,91
ESSEY,90
GWENDOLINE,90
LETETIA,90
PHYLLIS,90
WINNEY,90
AARON,89
FRAS,89
HANNY,89
ISBELLA,89
MORY,89
CORNELUS,88
DAVIT,88
HANAGH,88
LUCIE,88
ML,88
PHEBE,88
SELIA,88
WINNEFRED,88
EDNA,87
EFFIE,87
IRWIN,87
JOYCE,87
MATTIE,87
MEGGIE,87
ROBINSON,87
WINNY,87
BETSY,86
ISSABELLA,86
NELL,86
NOBLE,86
BESS,85
DEBBY,85
ELIZABET,85
JERAMIAH,85
JOSEPHIN,85
MINIE,85
TOMMIE,85
CATERINE,84
MONA,84
ARNOLD,83
CORMAC,83
ELLEANOR,83
EWARD,83
KATY,83
MATILDIA,83
CORMICK,82
EILLEEN,82
HARIET,82
MARIANN,82
ELIZEBTH,81
LIZZIA,81
SARAHA,81
BERTRAM,80
EDWORD,80
ISOBEL,80
JOHNIE,80
KATHERIN,80
PERCIVAL,80
ROSAN,80
MARGARETTE,79
HETTY,78
JUSTIN,78
MARGARETH,78
MARIAH,78
TEAGUE,78
THADDEUS,78
URSULA,78
BINA,77
COLIN,77
CRAWFORD,77
ENEAS,77
HETTIE,77
MAGGEY,77
MARGAET,77
ROBERTA,77
TERRY,77
THEODORE,77
ATTY,76
CALLAGHAN,76
EMMELINE,76
ENA,76
MARRIA,76
ROSY,76
SYLVIA,76
UNA,76
ALISE,75
AUGUSTIN,75
MAGEY,75
NARAH,75
RANDAL,75
V,75
ALIS,73
DANIS,73
DESMOND,73
ELLEY,73
LESSIE,73
MAGY,73
AGUSTINE,72
ALECIA,72
ANASTIA,72
BRIEN,72
DAVIS,72
GRACIE,72
JOSEPHENE,72
KETTY,72
MARGRIT,72
MARTAIN,72
MYRIA,72
CATHELINE,71
CICELY,71
ELZABETH,71
ETTIE,71
JOSEY,71
MICHALE,71
MICKEL,71
BABY,70
CECILA,70
DOMENICK,70
GEORGEINA,70
GUY,70
KATERINE,70
LILLEY,70
NATHAN,70
AURTHER,69
CATHRENE,69
JERIMIAH,69
JOSIAS,69
MARTEN,69
MATTY,69
ROSALIE,69
CICILY,68
CORNEY,68
ELISEBETH,68
HANOR,68
KATHLEN,68
LEOPOLD,68
MARGERAT,68
NEILL,68
PARK,68
WENIFRED,68
EVANGELINE,67
HELINA,67
LAWRANCE,67
LETTIA,67
LINDA,67
MARIANE,67
WALKER,67
ANE,66
ANGEL,66
ANNETTA,66
BARNARD,66
DINES,66
ELLIEN,66
ITA,66
JAMS,66
MAGGE,66
MAND,66
Q,66
REBBECA,66
ROB,66
STAFFORD,66
WILLIAMS,66
ALLIS,65
CATHRINA,65
CHRISTPHER,65
DOMINIC,65
ELISE,65
ISSAC,65
LOFTUS,65
MARYELLEN,65
MICHIAL,65
VOILET,65
BYRNE,64
DINIS,64
SERAGH,64
ANGUS,63
ANTY,63
BARTHLY,63
CAROLINA,63
KATHELEEN,63
LINA,63
LIZZA,63
MALACHI,63
MARGARITE,63
NAN,63
WALSH,63
CHRISDINA,62
DINNIS,62
ELLEEN,62
EMILEY,62
HENRITTA,62
ISRAEL,62
LAUGHLIN,62
LITITIA,62
MARGARATE,62
MICHIEL,62
OSCAR,62
PATIENCE,62
PHILIPH,62
ROSENNA,62
RUPERT,62
EELLEN,61
EVELYNE,61
FARREL,61
FINTAN,61
HONNOR,61
IZABELLA,61
SMYTH,61
SYBIL,61
ABIGAL,60
BENARD,60
JEMINA,60
LETTIE,60
MARGARAT,60
NANIE,60
NETTIE,60
TERESEA,60
ANNIA,59
CLARKE,59
DOLLY,59
GENEVIEVE,59
GILES,59
LARENCE,59
MADELEINE,59
MARGETT,59
PHELIM,59
RACHEAL,59
WINIFRID,59
ANEY,58
BIRDIE,58
DORATHY,58
EDA,58
ELLIZA,58
PIERRE,58
REUBEN,58
SISSIE,58
SMITH,58
AME,57
BAB,57
BIDELIA,57
EDW,57
ELIZIE,57
FENTON,57
JILLY,57
JOHANNE,57
LEONORA,57
MARI,57
POLLIE,57
SCOTT,57
VAL,57
WILLM,57
DERMOT,56
DORINDA,56
ELIZABATH,56
GRAHAM,56
JEFFREY,56
OWNE,56
ARCHD,55
CHARLS,55
CHAROLETTE,55
DANIE,55
FERDINAND,55
JOHNE,55
JULIANA,55
SAMUAL,55
THEOPHILUS,55
BARTHY,54
BASIL,54
BERNORD,54
BIDGET,54
BRIDET,54
BRIDGE,54
CASSY,54
CONNEL,54
ELLINOR,54
HENNERY,54
KEIRAN,54
ST,54
VIVIAN,54
Y,54
AMANDA,53
AN,53
BENJIMAN,53
BRIGED,53
CLARENCE,53
CORNELOUS,53
KEATIE,53
LIZEY,53
MARGARETE,53
METILDA,53
MICHALL,53
OSWALD,53
ALICA,52
ANDW,52
JAIN,52
MARGRAET,52
MGGIE,52
RODDY,52
ULICK,52
WINFORD,52
ELIZE,51
EMA,51
GERRARD,51
HENERETTA,51
JOHAN,51
JOSEPTH,51
KATHALEEN,51
LILIE,51
MARGARY,51
MARGURITE,51
MINNA,51
MORGARET,51
MORTIN,51
REACHEL,51
ANA,50
ANASTACIA,50
CHERRY,50
CONOR,50
DAWSON,50
EBENEZER,50
ELINA,50
ELLIOTT,50
EUGINE,50
GEORGIANA,50
GERTY,50
JASPER,50
MARGAT,50
MERVYN,50
MINNEY,50
STANISLAUS,50
CATRIN,49
CUNNINGHAM,49
EMLEY,49
GEORG,49
HARRIS,49
JOESEPH,49
JONE,49
JULIUS,49
PATIE,49
RACHAL,49
SINCLAIR,49
WILLIM,49
ALIE,48
ARCHEY,48
BERD,48
CASSEY,48
CHARLOTE,48
ELIZZIA,48
ELLIS,48
FREDDIE,48
JOH,48
JOSPHINE,48
JULIAH,48
KATHRIN,48
LANCELOT,48
SUSEN,48
THEADY,48
WILIAM,48
AMIE,47
BRUCE,47
CARNELIUS,47
CASEY,47
CHRIST,47
CONN,47
CORNELIS,47
CRISSIE,47
DEELAN,47
DERMOTT,47
