NAME,gender,count,90sCount,AdjustedCount
ABDISAMAD,M,25,0,8
ABDISHAKUR,M,43,4,43
ABDIWAHAB,M,3,0,1
ABDIWAHID,M,3,0,1
ABDIWALI,M,3,3,3
ABDOU,M,41,15,41
ABDOUL,M,34,0,11
ABDOULAYE,M,17,0,6
ABDOULIE,M,87,6,87
ABDOULLAH,M,3,0,1
ABDOURAHMAN,M,10,0,3
ABDU,M,19,5,19
ABDUALLAH,M,6,0,2
ABDUL-,M,19,0,6
ABDULA,M,12,0,4
ABDULAAHI,M,8,0,3
ABDULAH,M,26,9,26
ABDULAHAD,M,22,0,7
ABDUL-AHAD,M,35,0,12
ABDULAHI,M,271,23,271
ABDULAI,M,15,0,5
ABDULALEEM,M,3,0,1
ABDUL-ALEEM,M,3,0,1
ABDULAZEEZ,M,19,3,19
ABDUL-AZEEZ,M,24,15,24
ABDULAZIZ,M,289,34,289
ABDUL-AZIZ,M,49,14,49
ABDUL-BAASIT,M,3,0,1
ABDULBASIT,M,35,3,35
ABDUL-BASIT,M,3,0,1
ABDULFATAH,M,3,0,1
ABDUL-HAADI,M,17,0,6
ABDULHADI,M,63,0,21
ABDUL-HADI,M,51,0,17
ABDULHAKEEM,M,15,0,5
ABDUL-HAKEEM,M,38,3,38
ABDULHAKIM,M,20,3,20
ABDUL-HAKIM,M,6,0,2
ABDULHALIM,M,3,0,1
ABDULHAMEED,M,8,0,3
ABDULHAMID,M,11,4,11
ABDUL-HANNAN,M,6,0,2
ABDUL-HASEEB,M,3,3,3
ABDULILAH,M,3,0,1
ABDULKADER,M,3,0,1
ABDULKADIR,M,119,22,119
ABDULKAREEM,M,30,0,10
ABDUL-KAREEM,M,29,3,29
ABDULKARIM,M,52,10,52
ABDUL-KARIM,M,6,3,6
ABDULKHALIQ,M,3,0,1
ABDULLAAH,M,73,8,73
ABDULLAAHI,M,10,0,3
ABDULLAHI,M,793,94,793
ABDULLATEEF,M,9,0,3
ABDUL-LATEEF,M,9,0,3
ABDULLATIF,M,7,4,7
ABDULLOH,M,3,0,1
ABDULMAJEED,M,9,0,3
ABDULMAJID,M,26,0,9
ABDULMALEK,M,3,0,1
ABDULMALIK,M,150,10,150
ABDUL-MALIK,M,55,3,55
ABDUL-MANNAN,M,3,0,1
ABDUL-MATEEN,M,3,0,1
ABDUL-MOMIN,M,5,0,2
ABDUL-MUIZ,M,3,0,1
ABDUL-NASIR,M,3,3,3
ABDULQADIR,M,60,0,20
ABDUL-QADIR,M,4,0,1
ABDUL-QAYYUM,M,3,0,1
ABDULRAHEEM,M,65,4,65
ABDUL-RAHEEM,M,96,9,96
ABDULRAHIM,M,78,12,78
ABDUL-RAHIM,M,24,0,8
ABDUL-RAHMAN,M,146,19,146
ABDULREHMAN,M,31,0,10
ABDUL-REHMAN,M,16,0,5
ABDULSALAM,M,29,0,10
ABDULSAMAD,M,36,0,12
ABDUL-SAMAD,M,10,3,10
ABDUL-SAMI,M,18,0,6
ABDUL-WAHAAB,M,6,0,2
ABDULWAHAB,M,51,6,51
ABDUL-WAHAB,M,3,0,1
ABDULWAHHAB,M,3,0,1
ABDUL-WAHHAB,M,12,0,4
ABDULWAHID,M,5,0,2
ABDUL-WASAY,M,3,0,1
ABDUR,M,534,56,534
ABDURAHEEM,M,3,0,1
ABDURAHIM,M,3,0,1
ABDURAHMAN,M,311,31,311
ABDUR-RAFAY,M,3,0,1
ABDURRAHEEM,M,55,0,18
ABDUR-RAHEEM,M,103,5,103
ABDURRAHIM,M,10,3,10
ABDUR-RAHIM,M,12,3,12
ABDURRAHMAAN,M,64,3,64
ABDUR-RAHMAAN,M,75,7,75
ABDURRAHMAN,M,462,28,462
ABDUR-RAHMAN,M,355,34,355
ABDURREHMAN,M,15,0,5
ABDUR-REHMAN,M,34,6,34
ABDUS,M,106,24,106
ABDUSALAM,M,3,0,1
ABDUSSALAM,M,7,0,2
ABDUSSAMAD,M,3,0,1
ABDUS-SAMAD,M,19,0,6
ABDUS-SAMI,M,7,0,2
ABEDA,F,15,12,15
ABEED,M,3,3,3
ABEEDA,F,13,0,4
ABEEDAH,F,3,0,1
ABEEHA,F,160,0,53
ABEEL,M,3,0,1
ABEER,F,89,6,89
ABEER,M,35,0,12
ABEERA,F,123,0,41
ABEERAH,F,33,0,11
ABELA,F,3,0,1
ABELLA,F,11,0,4
ABEN,M,3,0,1
ABENA,F,146,27,146
ABENEZER,M,7,0,2
ABENI,F,6,0,2
ABHAY,M,146,8,146
ABHI,M,27,0,9
ABHIA,F,3,0,1
ABHIJAY,M,8,0,3
ABHIJEET,M,22,7,22
ABHIJIT,M,3,0,1
ABHIJITH,M,3,0,1
ABHIJOT,M,27,0,9
ABHIMANYU,M,16,0,5
ABHINAV,M,177,13,177
ABHIRAJ,M,32,0,11
ABHIRAM,M,38,0,13
ABHIRAMI,F,3,0,1
ABHISHEK,M,125,41,125
ABIA,F,88,0,29
ABIBAT,F,3,3,3
ABID,M,388,98,388
ABIDA,F,433,120,433
ABIDAH,F,73,10,73
ABIDEEN,M,3,0,1
ABIDEMI,F,3,0,1
ABIDUL,M,7,4,7
ABIDUR,M,54,19,54
ABIE,M,12,3,12
ABIEL,M,11,0,4
ABIEYUWA,F,3,0,1
ABIGAIL-LOUISE,F,6,0,2
ABIGAIL-ROSE,F,17,0,6
ABIGEL,F,18,0,6
ABIHA,F,169,0,56
ABIJAH,M,3,0,1
ABIJOT,M,3,0,1
ABILASH,M,9,0,3
ABI-LEIGH,F,16,0,5
ABILENE,F,3,0,1
ABI-LOUISE,F,10,0,3
ABI-MAE,F,3,0,1
ABIMBOLA,M,4,0,1
ABINA,F,10,0,3
ABINAASH,M,3,0,1
ABINASH,M,25,3,25
ABINAYA,F,86,3,86
ABINAYAN,M,3,0,1
ABINESH,M,12,0,4
ABIODUN,F,3,0,1
ABIODUN,M,9,6,9
ABIOLA,M,27,6,27
ABIONA,F,3,0,1
ABIRA,F,39,4,39
ABIRAJ,M,3,0,1
ABIRAMY,F,6,0,2
ABISAN,M,11,0,4
ABISHA,F,84,0,28
ABISHAI,M,3,0,1
ABISHAKE,M,3,0,1
ABISHAN,M,49,0,16
ABISHEK,M,22,0,7
ABISOYE,F,3,3,3
ABITHA,F,7,0,2
ABITHAN,M,3,0,1
ABIYA,F,3,0,1
ABIZER,M,5,0,2
ABLA,F,3,0,1
ABNER,M,19,0,6
ABOU,M,3,0,1
ABOUBACAR,M,20,0,7
ABOUBAKAR,M,6,0,2
ABRA,F,3,0,1
ABRAAR,F,3,0,1
ABRAAR,M,21,13,21
ABRAHIM,M,48,9,48
ABRAR,F,78,7,78
ABRAR,M,137,37,137
ABRIANNA,F,17,0,6
ABRIEL,M,4,0,1
ABRIELLA,F,6,0,2
ABRIELLE,F,18,0,6
ABRISH,F,28,0,9
ABSAR,M,11,3,11
ABSHIR,M,18,0,6
ABUBACARR,M,19,0,6
ABUBAKAR,M,560,60,560
ABU-BAKAR,M,35,7,35
ABUBAKARR,M,7,4,7
ABUBAKER,M,75,8,75
ABUBAKKAR,M,4,0,1
ABUBAKR,M,354,37,354
ABU-BAKR,M,210,23,210
ABU-HURAIRA,M,6,0,2
ABUHURAIRAH,M,3,0,1
ABUKAR,M,23,9,23
ABUL,M,129,68,129
ABU-SUFYAN,M,3,0,1
ABUZAR,M,13,0,4
ABYAAN,M,8,0,3
ABYAD,M,3,0,1
ABYAN,F,26,3,26
ABYAN,M,99,0,33
ABYGAYLE,F,3,3,3
ACE,F,3,0,1
ACELYA,F,48,8,48
ACER,F,3,0,1
ACER,M,168,18,168
ACHILLE,M,7,0,2
ACHINTYA,M,7,0,2
ACHRAF,M,3,3,3
ACHSA,F,3,0,1
ACHSAH,F,5,0,2
ACKEEM,M,7,0,2
